user_id,GB_12,loan_amount,PP_Average_Current_DBT,PP_Avg_Curr_Cmpny_DBT_Ind_DBT,PP_Worst_Comp_DBT_Ind_DBT_In_Lst_12M,Avg_No_Of_DBT_0_1000,DBT_most_recent_month,Num_unpaid_accts_in_past_year,Num_Of_Prev_Searches_last_3M,Num_Of_Prev_Searches_last_6M,Num_Of_Prev_Searches_last_12M,Num_Of_Meeting_Of_Creditors,Tot_Fixed_Assets_As_Pct_Of_Tot_Assets,Curr_Liab_As_Pct_Of_Tot_Assets,Capital_Employed_As_Pct_Of_Tot_Assets,Equity_Gearing,G3_Dir_Consent_FullCAIS_ConsCommDelphi_score,submit_profit_after_tax1,calc_profit_after_tax1,submit_profit_after_tax2,calc_profit_after_tax2,Score_1_SCORE,Num_of_active_SHARE_recs,Num_of_all_SHARE_accts,Num_of_active_SHARE_accts,Total_value_of_active_accts,payment_status_less_2_3M,payment_status_less_2_12M,payment_status_less_2_24M,payment_status_less_1_3M,payment_status_less_1_12M,payment_status_less_1_24M,payment_status_0_3M,payment_status_0_12M,payment_status_0_24M,Total_value_accts_in_sector2,Total_bals_active_accts,Total_limits_rev_acct_active,Mthly_rpymt_actv_fxd_term_accts,Value_actv_fxd_term_accts,Num_pymt_status_3plus_48_updates,curr_bal_to_Annual_Income,Curr_bal_rev_crd_to_curr_limits,bal_rev_crd_to_curr_limits_3M,bal_rev_crd_to_curr_limits_6M,Num_Rev_Acct_util_ge75,Unemployment_Among_25_39,Avg_num_of_Court_Judgments,Credit_Card_Repayment_Amt,Num_Cash_Advances_3M
123245,0,72400,15,-6,12,18,15,1,26,42,80,0,70.7,44.9,55.1,16.5,63,143950,143950,19351,19351,579,1,1,1,0,1,1,1,1,1,1,1,1,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,10.2459,0.04,NA,NA
123246,0,51500,0,-26,-24,0,0,0,1,1,3,0,23.3,26.1,73.9,73.1,93,270083,270083,311019,311019,594,4,12,4,19964,4,4,4,4,4,4,4,4,4,0,19964,NA,5509,19964,1,26,NA,NA,NA,NA,9.17431,0.12,0,0
123300,0,10000,0,-28,13,0,0,0,2,2,3,0,2.5,85,15,15,94,28040.21,28040.21,39912,39912,616,11,19,11,115091,11,11,11,11,11,11,11,10,9,68687,115091,18270,1471,104275,0,46,59,60,76,1,7.91139,0.07,629,0
123309,0,25000,0,-26,-24,0,0,0,2,5,10,0,3.4,85.7,14.3,14.3,85,28798.72,28798.72,10033,10033,544,6,14,6,57900,6,6,6,5,5,5,5,4,4,41046,57900,9300,599,51537,0,56,68,9,9,1,14.92537,0.07,26,0
123331,0,52000,0,-30,-20,0,0,0,7,14,18,0,20,46.2,53.8,46.6,100,43741.29,43741.29,65761,65761,641,5,16,5,371645,5,5,5,5,5,5,5,4,4,317574,371645,10000,2832,369095,0,72,25,13,14,0,5.14403,0.12,2524,0
123477,0,75000,6,-14,-11,0,6,0,1,1,2,0,63.2,31.2,68.8,28.6,79,37828,37828,72311,72311,679,11,14,11,247399,11,11,11,11,11,11,11,9,7,242626,247399,50800,2634,242626,0,6,9,18,7,0,8.37521,0.92,3849,3
123552,0,25000,NA,NA,NA,NA,NA,NA,4,5,6,0,5.9,70.9,29.1,28,93,84604.4,84604.4,45250,45250,629,19,25,19,327079,19,19,19,19,19,19,19,18,16,289466,327079,54160,1935,307198,0,50,36,37,38,2,19.40492,0.17,1724,1
123708,1,NA,0,-20,11,0,0,0,1,3,8,0,69.3,94.8,5.2,5.2,25,46528,46528,86441,86441,562,4,9,4,54931,4,4,4,4,4,4,4,3,3,NA,54931,NA,1392,53648,0,183,NA,NA,NA,NA,8.97666,0.08,NA,NA
124113,0,NA,NA,NA,NA,NA,NA,NA,2,6,11,0,10.3,95.5,4.5,3.9,48,101534,101534,169398,169398,599,14,19,14,413951,14,14,14,14,14,14,14,14,14,305145,413951,84100,1941,330964,0,145,88,73,60,5,15.19757,0.09,36944,0
124141,0,150000,0,-30,-11,0,0,0,6,13,17,0,10.9,36.7,63.3,49.5,100,681579.22,681579.22,648528,648528,543,13,16,13,46973,13,13,13,13,12,12,13,12,11,0,46973,36900,223,14551,0,62,87,68,36,4,9.31099,0.1,19420,26
124146,0,15000,0,-20,2,0,0,0,1,3,4,0,28.4,145.1,-45.1,-74.1,40,32997.89,32997.89,13441,13441,486,14,20,14,209035,13,13,13,13,11,11,13,10,10,190993,209035,9900,1050,201668,1,60,58,42,39,0,18.91551,0.13,76,2
124314,0,NA,0,-27,5,0,0,0,10,10,18,0,70.2,23.6,76.4,67,82,313154.23,313154.23,186530,186530,542,4,9,4,438643,4,4,3,4,4,2,4,4,2,438523,438643,30780,476,438523,0,0,0,56,57,0,0,0.06,24942,0
124326,0,NA,8,-18,-18,0,8,0,10,16,28,0,6.6,76.6,23.4,11.2,17,547861.9,547861.9,258135,258135,644,6,10,6,305216,6,6,6,6,6,5,6,5,4,295663,305216,18900,1401,295663,0,7,50,21,13,0,5.78035,0,4520,0
